Ref,Val,Package,PosX,PosY,Rot,Side
"D_A1","D","D_SOD123_axial",101.964272,-86.815835,170.000000,bottom
"D_ALT1","D","D_SOD123_axial",225.535253,-130.791633,120.000000,bottom
"D_ALT2","D","D_SOD123_axial",95.348276,-124.337010,170.000000,bottom
"D_B1","D","D_SOD123_axial",174.827339,-112.407163,170.000000,bottom
"D_BKSP1","D","D_SOD123_axial",161.619300,-131.346440,150.000000,bottom
"D_BSLSH1","D","D_SOD123_axial",358.692654,-60.612252,190.000000,bottom
"D_C1","D","D_SOD123_axial",138.174403,-100.867129,170.000000,bottom
"D_CAPS1","D","D_SOD123_axial",76.168463,-82.267338,170.000000,bottom
"D_COMMA1","D","D_SOD123_axial",283.579197,-100.867129,190.000000,bottom
"D_CTRL1","D","D_SOD123_axial",196.218347,-130.791633,240.000000,bottom
"D_CTRL2","D","D_SOD123_axial",74.242615,-120.615513,170.000000,bottom
"D_D1","D","D_SOD123_axial",141.482401,-82.106542,170.000000,bottom
"D_DOT1","D","D_SOD123_axial",302.773904,-100.021150,190.000000,bottom
"D_DOWN1","D","D_SOD123_axial",306.081902,-118.781738,190.000000,bottom
"D_E1","D","D_SOD123_axial",144.790398,-63.345954,170.000000,bottom
"D_ENTER1","D","D_SOD123_axial",369.035872,-78.132341,190.000000,bottom
"D_F1","D","D_SOD123_axial",159.808869,-87.876559,170.000000,bottom
"D_G1","D","D_SOD123_axial",178.135337,-93.646576,170.000000,bottom
"D_H1","D","D_SOD123_axial",243.618264,-93.646576,190.000000,bottom
"D_I1","D","D_SOD123_axial",276.963202,-63.345954,190.000000,bottom
"D_J1","D","D_SOD123_axial",261.944732,-87.876559,190.000000,bottom
"D_K1","D","D_SOD123_axial",280.271200,-82.106542,190.000000,bottom
"D_L1","D","D_SOD123_axial",299.465907,-81.260563,190.000000,bottom
"D_LEFT1","D","D_SOD123_axial",286.887195,-119.627717,190.000000,bottom
"D_M1","D","D_SOD123_axial",265.252729,-106.637146,190.000000,bottom
"D_META1","D","D_SOD123_axial",134.866405,-119.627717,170.000000,bottom
"D_N1","D","D_SOD123_axial",246.926261,-112.407163,190.000000,bottom
"D_O1","D","D_SOD123_axial",296.157909,-62.499975,190.000000,bottom
"D_P1","D","D_SOD123_axial",316.481331,-68.055247,190.000000,bottom
"D_Q1","D","D_SOD123_axial",105.272269,-68.055247,170.000000,bottom
"D_QUOTE1","D","D_SOD123_axial",338.549917,-83.507837,190.000000,bottom
"D_R1","D","D_SOD123_axial",163.116866,-69.115971,170.000000,bottom
"D_RIGHT1","D","D_SOD123_axial",345.165912,-121.029012,190.000000,bottom
"D_S1","D","D_SOD123_axial",122.287694,-81.260563,170.000000,bottom
"D_SEMIC1","D","D_SOD123_axial",319.789329,-86.815835,190.000000,bottom
"D_SHIFT1","D","D_SOD123_axial",358.273429,-99.373926,190.000000,bottom
"D_SHIFT2","D","D_SOD123_axial",68.170318,-100.200926,170.000000,bottom
"D_SLASH1","D","D_SOD123_axial",323.097326,-105.576422,190.000000,bottom
"D_SPACE1","D","D_SOD123_axial",260.134300,-131.346440,210.000000,bottom
"D_SPACE2","D","D_SOD123_axial",335.241919,-64.747249,190.000000,bottom
"D_SUPER1","D","D_SOD123_axial",115.671698,-118.781738,170.000000,bottom
"D_T1","D","D_SOD123_axial",181.443334,-74.885988,170.000000,bottom
"D_TAB1","D","D_SOD123_axial",81.821534,-63.920250,170.000000,bottom
"D_U1","D","D_SOD123_axial",258.636734,-69.115971,190.000000,bottom
"D_UP1","D","D_SOD123_axial",326.405324,-124.337010,190.000000,bottom
"D_V1","D","D_SOD123_axial",156.500871,-106.637146,170.000000,bottom
"D_W1","D","D_SOD123_axial",125.595691,-62.499975,170.000000,bottom
"D_X1","D","D_SOD123_axial",118.979696,-100.021150,170.000000,bottom
"D_Y1","D","D_SOD123_axial",240.310266,-74.885988,190.000000,bottom
"D_Z1","D","D_SOD123_axial",98.656274,-105.576422,170.000000,bottom
